Date,ZIP Code,Revenue Interest - Garage Parking Tax,Revenue Interest - Ridesharing Tax,Revenue Interest - Alcohol Tax,"Revenue Interest - Tax on Sports, Theater, Other Entertainment",Revenue Interest - Cigarette Tax,Revenue Interest - Hotel Tax,Revenue Interest - Shopping Bag Tax,Revenue Interest - Property Tax,Revenue Interest - Sales Tax,Revenue Interest - Permit Fees,Revenue Interest - License Fees,Revenue Interest - Other,Expense Interest - Police,Expense Interest - Other Public Safety,Expense Interest - Infrastructure,Expense Interest - Community,Expense Interest - Streets and Sanitation,Expense Interest - City Development,Expense Interest - Libraries,Expense Interest - Regulatory,Expense Interest - Cultural Affairs and Special Events,Expense Interest - Other,Spending Change - Police,Spending Change - Other Public Safety,Spending Change - Infrastructure,Spending Change - Community,Spending Change - Streets and Sanitation,Spending Change - City Development,Spending Change - Libraries,Spending Change - Regulatory,Spending Change - Cultural Affairs and Special Events,Revenue Change - Garage Parking Tax,Revenue Change - Ridesharing Tax,Revenue Change - Alcohol Tax,"Revenue Change - Tax on Sports, Theater, Other Entertainment",Revenue Change - Cigarette Tax,Revenue Change - Hotel Tax,Revenue Change - Shopping Bag Tax,Revenue Change - Property Tax,Revenue Change - Sales Tax,Revenue Change - Permit Fees,Revenue Change - License Fees,$1000 Assignment - Police,$1000 Assignment - Other Public Safety,$1000 Assignment - Infrastructure Services,$1000 Assignment - Community,$1000 Assignment - Streets and Sanitation,$1000 Assignment - City Development,$1000 Assignment - Libraries,$1000 Assignment - Regulatory,$1000 Assignment - Cultural Affairs and Special Events,$1000 Assignment - Total,Counter Column
09/04/2019,60617,true,false,false,true,false,true,false,true,true,true,false,true,true,false,true,true,false,true,false,true,true,true,Reduce Budget,Reduce Budget,Increase Budget,Increase Budget,Reduce Budget,Reduce Budget,Keep Budget the Same,Reduce Budget,Increase Budget,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,150,0,500,100,0,0,0,0,250,1000,1
09/04/2019,60628,true,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,true,true,true,true,true,false,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,50,50,150,500,50,75,50,50,25,1000,1
09/04/2019,60618,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,Reduce Budget,Reduce Budget,Increase Budget,Keep Budget the Same,Keep Budget the Same,Increase Budget,Increase Budget,Keep Budget the Same,Reduce Budget,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,200,50,400,100,50,100,50,,,950,1
09/04/2019,60603,false,false,false,false,false,false,false,true,true,false,true,false,true,true,false,true,false,false,false,false,false,false,Reduce Budget,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,,,500,500,,,,,,1000,1
09/04/2019,60608,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,Increase Budget,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Reduce Budget,,Reduce Budget,Reduce Budget,Increase Tax or Fee,Increase Tax or Fee,,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,750,100,50,0,100,0,,0,0,1000,1
09/04/2019,60660,false,true,true,false,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,Increase Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,,Keep Budget the Same,Keep Budget the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,No Opinion,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,400,100,100,100,100,50,50,50,50,1000,1
09/04/2019,60641,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,Reduce Budget,Keep Budget the Same,Reduce Budget,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,No Opinion,Keep Tax or Fee the Same,Increase Tax or Fee,No Opinion,Keep Tax or Fee the Same,No Opinion,No Opinion,,,,,,,,,,0,1
09/04/2019,60660,false,false,false,true,false,false,false,true,true,true,true,false,true,true,true,true,true,false,false,false,false,false,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Increase Budget,Increase Budget,Increase Budget,Increase Budget,Keep Tax or Fee the Same,Increase Tax or Fee,,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,200,200,200,150,100,25,25,100,0,1000,1
09/04/2019,60657,false,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,true,false,false,false,false,false,Increase Budget,Increase Budget,Increase Budget,Increase Budget,Increase Budget,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,375,140,185,140,95,45,15,5,1,1000,1
09/04/2019,60615,false,true,false,false,false,false,false,true,true,false,false,false,true,false,true,true,false,true,true,false,false,false,Reduce Budget,Increase Budget,Increase Budget,Increase Budget,Keep Budget the Same,Increase Budget,Increase Budget,Keep Budget the Same,Keep Budget the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,50,150,100,100,100,75,75,50,50,750,1
09/04/2019,60646,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,false,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,,,,,,,,,,0,1
09/04/2019,60606,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,250,150,150,250,75,50,25,25,25,1000,1
09/04/2019,60631,false,false,false,false,false,false,false,true,true,false,false,false,false,true,true,true,false,true,true,false,false,false,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Increase Budget,Increase Budget,Increase Budget,Keep Budget the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,,,,,,,,,,0,1
09/04/2019,60647,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,true,false,Reduce Budget,Keep Budget the Same,Increase Budget,Increase Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,No Opinion,No Opinion,No Opinion,No Opinion,Increase Tax or Fee,No Opinion,Increase Tax or Fee,No Opinion,No Opinion,No Opinion,No Opinion,50,100,100,300,100,100,100,50,100,1000,1
09/04/2019,60657,false,false,false,true,false,false,true,true,true,false,false,true,true,true,true,false,true,false,true,false,false,true,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Reduce Budget,Increase Budget,Keep Budget the Same,Reduce Budget,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,100,100,100,100,100,,400,100,,1000,1
09/04/2019,60647,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,Reduce Budget,Keep Budget the Same,Increase Budget,Increase Budget,Increase Budget,Increase Budget,Increase Budget,Keep Budget the Same,Keep Budget the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,,,,,,,,,,0,1
09/04/2019,60625,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,300,200,100,50,50,25,25,15,0,765,1
09/04/2019,60625,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,50,150,400,,400,,,,,1000,1
09/04/2019,60640,true,true,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,true,true,false,true,false,Reduce Budget,Keep Budget the Same,Increase Budget,Increase Budget,Keep Budget the Same,Increase Budget,Keep Budget the Same,Keep Budget the Same,Increase Budget,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,50,75,175,175,100,175,75,75,100,1000,1
09/03/2019,60614,false,true,false,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,Reduce Budget,Keep Budget the Same,Increase Budget,Increase Budget,Increase Budget,Keep Budget the Same,Increase Budget,Reduce Budget,Keep Budget the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,0,1,1,3,1,1,1,1,1,10,1
09/03/2019,60634,false,true,true,false,true,true,false,false,false,false,true,true,true,false,true,true,true,true,false,false,false,false,Increase Budget,Keep Budget the Same,Increase Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,,Keep Budget the Same,Keep Budget the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,No Opinion,Keep Tax or Fee the Same,Keep Tax or Fee the Same,No Opinion,Increase Tax or Fee,200,175,175,100,100,75,25,50,25,925,1
09/03/2019,60614,false,false,false,false,false,false,false,true,true,false,false,false,true,false,true,true,false,true,false,true,false,false,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Reduce Budget,Keep Budget the Same,Reduce Budget,No Opinion,No Opinion,No Opinion,Increase Tax or Fee,Increase Tax or Fee,No Opinion,No Opinion,Keep Tax or Fee the Same,Keep Tax or Fee the Same,No Opinion,No Opinion,200,150,100,250,,150,,150,,1000,1
09/03/2019,60630,false,true,false,true,false,false,false,false,true,true,true,false,true,false,true,true,false,true,false,false,false,false,Reduce Budget,Increase Budget,Keep Budget the Same,Increase Budget,Increase Budget,Increase Budget,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,300,150,150,150,50,50,50,50,50,1000,1
09/03/2019,60653,false,false,true,false,true,true,false,false,false,false,false,false,true,true,true,false,true,true,false,false,false,false,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Increase Budget,Increase Budget,Keep Budget the Same,Reduce Budget,Reduce Budget,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,238,143,238,,238,143,,,,1000,1
09/03/2019,60618,false,true,false,true,false,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,false,false,Increase Budget,Increase Budget,Increase Budget,Increase Budget,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Keep Budget the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,300,275,200,200,,,25,,,1000,1
09/03/2019,60640,false,false,true,true,true,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,Reduce Budget,Reduce Budget,Keep Budget the Same,Reduce Budget,Reduce Budget,Reduce Budget,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,200,100,200,100,100,50,50,100,100,1000,1
09/03/2019,60618,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,true,true,true,true,true,false,Increase Budget,Keep Budget the Same,Increase Budget,Increase Budget,Keep Budget the Same,Reduce Budget,Increase Budget,Keep Budget the Same,Keep Budget the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,318,91,227,91,45,45,91,45,45,1000,1
09/03/2019,60641,false,true,false,false,false,false,false,true,true,false,false,false,true,true,true,true,true,true,false,false,false,false,Reduce Budget,Keep Budget the Same,Increase Budget,Increase Budget,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Reduce Budget,Reduce Budget,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,300,200,100,100,200,,,100,,1000,1
09/03/2019,60605,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,300,50,150,50,50,100,100,50,150,1000,1
09/03/2019,60657,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,false,true,false,true,true,false,Increase Budget,Keep Budget the Same,Increase Budget,Increase Budget,Reduce Budget,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Reduce Budget,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,300,150,150,100,75,100,25,75,25,1000,1
09/03/2019,60608,false,false,false,false,true,true,true,false,false,false,false,false,true,true,false,false,true,true,false,false,false,false,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Increase Budget,Reduce Budget,Reduce Budget,Increase Budget,No Opinion,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,No Opinion,No Opinion,No Opinion,,,100,400,400,25,,,25,950,1
09/03/2019,60615,true,true,false,false,false,false,false,true,false,false,false,true,false,false,true,true,true,true,false,false,false,true,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Increase Budget,Increase Budget,Increase Budget,Increase Budget,Reduce Budget,Increase Budget,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,100,100,200,150,100,150,50,50,100,1000,1
09/03/2019,60653,true,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,350,250,100,100,50,10,50,10,30,950,1
09/03/2019,60653,false,false,false,false,false,false,false,true,true,false,true,false,true,false,true,false,true,false,false,true,false,false,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Reduce Budget,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Reduce Budget,Reduce Budget,No Opinion,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,300,200,100,100,100,0,100,100,0,1000,1
09/03/2019,60657,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,Reduce Budget,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Reduce Budget,Reduce Budget,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,,,,,,,,,,0,1
09/03/2019,60640,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,false,Reduce Budget,Keep Budget the Same,Increase Budget,Increase Budget,Increase Budget,Increase Budget,Increase Budget,Reduce Budget,Increase Budget,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,250,150,200,150,80,60,50,40,10,990,1
09/03/2019,60614,false,false,true,true,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,Reduce Budget,Reduce Budget,Reduce Budget,Increase Budget,Keep Budget the Same,Increase Budget,Reduce Budget,Reduce Budget,Keep Budget the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,,,,1000,,,,,,1000,1
09/03/2019,60616,false,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,true,true,false,false,false,false,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Keep Budget the Same,No Opinion,No Opinion,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,No Opinion,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,No Opinion,No Opinion,200,100,100,100,200,50,100,20,50,920,1
09/03/2019,60647,false,false,false,false,false,false,true,true,true,false,false,false,false,false,true,true,false,true,false,false,false,true,Reduce Budget,Keep Budget the Same,Increase Budget,Increase Budget,Keep Budget the Same,Increase Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,No Opinion,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,100,200,200,200,50,100,,50,100,1000,1
09/03/2019,60630,false,false,false,false,false,false,false,true,true,false,false,false,true,true,true,false,true,false,false,false,false,false,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Reduce Budget,Keep Budget the Same,Reduce Budget,No Opinion,No Opinion,No Opinion,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,,500,500,,,,,,,1000,1
09/03/2019,60622,false,true,true,true,false,false,false,true,true,true,true,false,true,true,true,true,false,false,false,false,true,false,Reduce Budget,Reduce Budget,Keep Budget the Same,Increase Budget,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Keep Budget the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,250,200,100,250,25,50,50,50,25,1000,1
09/03/2019,60652,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,No Opinion,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,500,300,,,50,100,50,,,1000,1
09/03/2019,60659,false,false,true,true,false,false,false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,false,Reduce Budget,Keep Budget the Same,Increase Budget,Increase Budget,Increase Budget,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,No Opinion,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,No Opinion,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,300,150,200,50,100,50,50,75,25,1000,1
09/03/2019,60614,false,false,false,false,false,false,false,true,true,false,false,false,false,false,true,true,false,false,false,false,false,false,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Increase Budget,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,180,100,260,260,70,70,15,15,30,1000,1
09/03/2019,60616,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,400,300,50,50,50,25,50,25,50,1000,1
09/03/2019,60618,false,true,true,true,false,false,false,true,true,true,true,false,false,true,false,true,true,false,true,false,false,false,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Reduce Budget,,Reduce Budget,Reduce Budget,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,300,100,200,,200,,100,100,,1000,1
